StopTime,Pressure
1,-0.1778005730255429
2,-0.09636932541465201
3,-0.13416998759010995
4,0.15098897013040316
5,0.04212527915421306
6,0.028688825830403403
7,0.1149812250227012
8,-0.021046264897069566
9,0.3380329362258228
10,0.20654065624661017
11,0.25839694386739837
12,0.2845855535362645
13,0.3555823333722344
14,0.455064439716849
15,0.7045894874754589
16,0.624603010271796
17,0.21893481052600758
18,0.0329857730731671
19,0.06697163130329667
20,-0.0348869809102562
21,-0.05329825204285715
22,-0.08799950373443194
23,-0.2133607037717948
