StopTime,Pressure
0,0.027700386901639364
1,0.17457783262226753
2,0.13809232091632168
3,0.15261279266732342
4,0.1594575351755503
5,0.11157116776190465
6,0.25940414806313167
7,0.7078356289494321
8,0.8344861441988451
9,0.7984261740188124
10,0.7556543148049477
11,0.7209520405465663
12,0.7246232689078911
13,0.8687341020409449
14,0.932573318711504
15,1.049931828714639
16,1.0895475561158423
17,1.0624197457737228
18,0.8461066949411772
19,0.34342368067227735
20,0.2849833256498669
21,0.296757954964355
22,0.2901874003539836
23,0.23210930378041436
