StopTime,Pressure
0,-1.20216622154811
1,-0.5252828336788593
2,-0.6752699681508761
3,-0.5057671626469585
4,-0.4168742726205268
5,-0.566623982004872
6,-0.5744206002953228
7,-0.3881858428806041
8,-0.11566238296198764
9,0.1632714046960405
10,0.1856647423382756
11,0.3772399387807018
12,0.4739997739785579
13,0.34637889566757857
14,0.5506528767684211
15,0.4618910100764134
16,0.5031741133183157
17,0.3583821669437502
18,-0.07690157359156828
19,-0.4161270615266471
20,-0.4744784417941168
21,-0.4770174439652927
22,-0.4767060539045125
23,-0.2387407001206719
