StopTime,Pressure
1,0.33953999999999995
2,0.8516333333333335
3,0.78395
4,0.33205000000000007
5,-0.3359500000000001
6,0.13148333333333334
7,1.2961333333333331
8,0.9969347826086954
9,0.8742666666666666
10,0.3076666666666667
11,0.9971666666666668
12,0.7560666666666666
13,0.8983333333333333
14,1.0112999999999999
15,0.9132333333333332
16,0.7567333333333334
17,0.8790000000000001
18,0.5865666666666666
19,-0.17863333333333334
20,-0.37333333333333335
21,-0.04183333333333333
22,0.16673333333333334
23,0.2609666666666667
