StopTime,Pressure
0,-1.17775
1,-0.5030626072041162
2,-0.4164014814814812
3,-0.42586444444444455
4,-0.4025562962962968
5,-0.3242029629629632
6,-0.47227259259259274
7,-0.2767859259259258
8,-0.11956296296296287
9,0.2429874074074078
10,0.08719333333333333
11,0.35922296296296286
12,0.24383481481481512
13,0.1728750918442324
14,0.18962826086956514
15,0.05712608695652145
16,0.18821739130434775
17,-0.6257797965116274
18,-0.6389674074074077
19,-0.6038340740740742
20,-0.5792303703703693
21,-0.4333570370370372
22,-0.48328740740740783
23,-0.33794518518518646
