StopTime,Pressure
0,0.18980645161290322
1,-0.3744461763273257
2,-0.3437617886178862
3,-0.36000325203252015
4,-0.4161727642276419
5,-0.42776666666666696
6,-0.4034032520325205
7,-0.01427845528455269
8,0.08142601626016263
9,0.3041349593495937
10,0.3976365853658537
11,0.2385959349593499
12,0.44312962210483475
13,0.6331140562248978
14,0.6451538152610448
15,0.41126465863453826
16,0.43051164658634544
17,0.4700084337349396
18,0.042399598393574274
19,-0.34200200803212893
20,-0.46892289156626465
21,-0.4733306484091829
22,-0.49378495934959343
23,-0.31502154471544624
