Time,IndoorOutdoorPressure
0,-0.299324683
1,-0.402679554
2,-0.793824102
3,-0.299324683
4,-0.299324683
5,-0.40071435400000005
6,-0.732
7,-0.188146944
8,0.28663108800000003
9,0.1898143565
10,-0.061321462
11,0.0898617985
12,0.29
13,0.4354297070000001
14,-0.086
15,0.094458513
16,0.278259238
17,0.137217965
18,-0.5047889855
19,-0.030169383
20,-0.226445904
21,-0.5003657955
22,-0.852640197
23,-0.2467967775
