% Model,main_refined_constant_ae.mph
% Version,COMSOL 5.3.1.275
% Date,"Feb 19 2019, 02:24"
% Table,Table: Accumulated Probe Table 11 {tbl11} - 
% Ae,p_in,"Attenuation to groundwater, Global Evaluation: Attenuation to groundwater {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6},"Attenuation to subbase, Global Evaluation: Attenuation to subslab {gev9}",Global Evaluation: Average TCE in subslab {gev10}
2.777777777777778E-5,-5,4.985980140588143E-4,0.005560917679837089,2.1127849812758,26400.849606076605,144.67319975930621,6.988933770905449E-4,0.004963285879432514
2.777777777777778E-5,-4,3.951265576518108E-4,0.004448734143869787,1.6902279850206843,20922.018399178178,114.64992196824983,5.986565389473177E-4,0.004591854959609704
2.777777777777778E-5,-3,2.925067532922678E-4,0.003336550607902298,1.2676709887654876,15488.282312973637,84.87375953528453,4.939650438577029E-4,0.004119735674429287
2.777777777777778E-5,-2,1.9135763814043854E-4,0.0022243670719348948,0.845113992510343,10132.419470334702,55.524332282829235,3.813862216208224E-4,0.003490683508569079
2.777777777777778E-5,-1,9.334726074431133E-5,0.0011121835359674378,0.42255699625516757,4942.75332544561,27.08564117756934,2.5120990539718985E-4,0.0025852020381261745
2.777777777777778E-5,1,5.1361954666623166E-6,-0.0011121835359674378,-0.4225569962551677,271.9624231129989,1.4903184766067394,5.2386006148757274E-5,6.821123693099976E-4
2.777777777777778E-5,2,4.2043732389452045E-6,-0.002224367071934911,-0.8451139925103482,222.62227774559918,1.21994093901234,4.782840622686788E-5,6.115683833211805E-4
2.777777777777778E-5,3,3.543912690012938E-6,-0.0033365506079022773,-1.267670988765482,187.65077940134236,1.028301706134157,4.449094449802677E-5,5.541675094498358E-4
2.777777777777778E-5,4,3.039838858746155E-6,-0.0044487341438698615,-1.69022798502071,160.95998434321487,0.8820396432537849,4.177730755825683E-5,5.062205675500796E-4
2.777777777777778E-5,5,2.6404121972610994E-6,-0.005560917679837149,-2.1127849812758335,139.81027471504873,0.7661420031572826,3.9462315051786E-5,4.6549909630755104E-4
8.333333333333334E-5,-5,1.6619933801960608E-4,0.005560917679837357,2.1127849812759107,8800.283202025603,144.6731997593072,2.3296445903021765E-4,0.004963285879431786
8.333333333333334E-5,-4,1.3170885255060365E-4,0.004448734143869876,1.690227985020715,6974.006133059395,114.6499219682498,1.99552179649108E-4,0.004591854959609658
8.333333333333334E-5,-3,9.750225109742279E-5,0.003336550607902335,1.2676709887655029,5162.760770991223,84.87375953528448,1.6465501461923084E-4,0.0041197356744293815
8.333333333333334E-5,-2,6.378587938014596E-5,0.0022243670719348492,0.8451139925103271,3377.4731567782223,55.52433228282891,1.271287405402665E-4,0.0034906835085692757
8.333333333333334E-5,-1,3.1115753581437184E-5,0.0011121835359674673,0.4225569962551785,1647.5844418152074,27.08564117756942,8.373663513239865E-5,0.0025852020381261177
8.333333333333334E-5,1,1.7120651555541016E-6,-0.0011121835359674597,-0.42255699625517606,90.65414103766611,1.490318476606737,1.7462002049585734E-5,6.821123693099971E-4
8.333333333333334E-5,2,1.4014577463150726E-6,-0.0022243670719348982,-0.8451139925103456,74.20742591519996,1.219940939012344,1.594280207562305E-5,6.115683833211663E-4
8.333333333333334E-5,3,1.1813042300042478E-6,-0.003336550607902381,-1.2676709887655242,62.55025980044401,1.028301706134098,1.4830314832673322E-5,5.541675094498901E-4
8.333333333333334E-5,4,1.013279619582091E-6,-0.004448734143869852,-1.6902279850207063,53.65332811440704,0.8820396432538201,1.3925769186086698E-5,5.062205675500596E-4
8.333333333333334E-5,5,8.80137399086977E-7,-0.005560917679837235,-2.112784981275867,46.60342490501327,0.7661420031572338,1.3154105017260646E-5,4.6549909630756926E-4
1.388888888888889E-4,-5,9.971960281176379E-5,0.005560917679837204,2.112784981275857,5280.16992121537,144.67319975930664,1.3977867541812889E-4,0.004963285879431853
1.388888888888889E-4,-4,7.902531153036197E-5,0.004448734143869519,1.6902279850205857,4184.403679835626,114.64992196824922,1.1973130778946177E-4,0.004591854959609762
1.388888888888889E-4,-3,5.850135065845376E-5,0.0033365506079023506,1.2676709887655062,3097.656462594738,84.87375953528462,9.879300877154472E-5,0.004119735674429129
1.388888888888889E-4,-2,3.827152762808774E-5,0.0022243670719349143,0.8451139925103481,2026.4838940669422,55.5243322828291,7.627724432416423E-5,0.003490683508569093
1.388888888888889E-4,-1,1.8669452148862263E-5,0.0011121835359674385,0.42255699625516857,988.5506650891219,27.08564117756934,5.024198107943777E-5,0.0025852020381261845
1.388888888888889E-4,1,1.0272390933324625E-6,-0.001112183535967463,-0.4225569962551765,54.392484622599746,1.4903184766067366,1.0477201229751186E-5,6.821123693100147E-4
1.388888888888889E-4,2,8.408746477890397E-7,-0.0022243670719349147,-0.8451139925103499,44.524455549119764,1.2199409390123384,9.565681245373566E-6,6.115683833211803E-4
1.388888888888889E-4,3,7.08782538002585E-7,-0.0033365506079023437,-1.267670988765506,37.53015588026833,1.0283017061341528,8.898188899605297E-6,5.541675094498373E-4
1.388888888888889E-4,4,6.079677717492626E-7,-0.004448734143869721,-1.6902279850206532,32.191996868644644,0.8820396432538313,8.35546151165214E-6,5.06220567550059E-4
1.388888888888889E-4,5,5.280824394521107E-7,-0.005560917679837344,-2.112784981275904,27.962054943003967,0.7661420031571231,7.892463010354024E-6,4.6549909630764217E-4
1.9444444444444446E-4,-5,7.122828772268827E-5,0.005560917679837337,2.1127849812759023,3771.5499437252565,144.67319975930718,9.984191101294704E-5,0.0049632858794319504
1.9444444444444446E-4,-4,5.644665109311564E-5,0.004448734143869856,1.6902279850207105,2988.8597713111585,114.64992196824936,8.552236270675628E-5,0.004591854959609871
1.9444444444444446E-4,-3,4.178667904175257E-5,0.003336550607902361,1.2676709887655115,2212.6117589962355,84.87375953528448,7.056643483681314E-5,0.004119735674429381
1.9444444444444446E-4,-2,2.7336805448634168E-5,0.002224367071934914,0.845113992510352,1447.4884957621052,55.5243322828293,5.448374594583429E-5,0.0034906835085689292
1.9444444444444446E-4,-1,1.3335322963473056E-5,0.0011121835359674443,0.4225569962551703,706.107617920802,27.08564117756942,3.588712934245629E-5,0.0025852020381261333
1.9444444444444446E-4,1,7.337422095231938E-7,-0.0011121835359674333,-0.4225569962551664,38.85177473042872,1.4903184766067508,7.483715164108439E-6,6.821123693099795E-4
1.9444444444444446E-4,2,6.006247484207379E-7,-0.0022243670719349342,-0.8451139925103575,31.803182535085295,1.219940939012327,6.832629460980979E-6,6.115683833211879E-4
1.9444444444444446E-4,3,5.062732414304005E-7,-0.0033365506079023077,-1.267670988765491,26.807254200190744,1.028301706134116,6.355849214003075E-6,5.5416750944988E-4
1.9444444444444446E-4,4,4.3426269410663716E-7,-0.004448734143869729,-1.690227985020663,22.994283477604434,0.8820396432538741,5.968186794038266E-6,5.062205675499967E-4
1.9444444444444446E-4,5,3.7720174246579166E-7,-0.00556091767983743,-2.1127849812759414,19.972896387859883,0.766142003157117,5.637473578824255E-6,4.6549909630764396E-4
2.5E-4,-5,5.539977933986873E-5,0.005560917679837235,2.1127849812758708,2933.427734008537,144.67319975930687,7.765481967673694E-5,0.004963285879431935
2.5E-4,-4,4.3902950850201155E-5,0.004448734143869801,1.6902279850206885,2324.6687110197954,114.64992196824943,6.651739321636543E-5,0.004591854959609921
2.5E-4,-3,3.2500750365807586E-5,0.003336550607902357,1.2676709887655122,1720.9202569970735,84.87375953528456,5.4885004873079615E-5,0.00411973567442918
2.5E-4,-2,2.1261959793382116E-5,0.002224367071934946,0.8451139925103608,1125.8243855927478,55.52433228282927,4.23762468467598E-5,0.0034906835085689435
2.5E-4,-1,1.0371917860479044E-5,0.0011121835359674385,0.42255699625516857,549.1948139384016,27.085641177569357,2.7912211710799055E-5,0.0025852020381261598
2.5E-4,1,5.706883851847015E-7,-0.001112183535967456,-0.4225569962551744,30.218047012555417,1.490318476606739,5.820667349861905E-6,6.821123693099988E-4
2.5E-4,2,4.6715258210504187E-7,-0.0022243670719347343,-0.8451139925102806,24.73580863840092,1.219940939012386,5.31426735854139E-6,6.115683833211464E-4
2.5E-4,3,3.937680766680731E-7,-0.00333655060790242,-1.2676709887655337,20.850086600147502,1.02830170613407,4.943438277557475E-6,5.541675094499103E-4
2.5E-4,4,3.3775987319402363E-7,-0.004448734143869832,-1.6902279850207023,17.88444270480199,0.8820396432538018,4.641923062028714E-6,5.062205675500697E-4
2.5E-4,5,2.933791330290053E-7,-0.0055609176798372024,-2.112784981275853,15.534474968338444,0.7661420031572651,4.384701672420533E-6,4.6549909630755614E-4
3.055555555555556E-4,-5,4.5327092187165414E-5,0.00556091767983743,2.1127849812759387,2400.07723691608,144.67319975930744,6.353576155369488E-5,0.004963285879431864
3.055555555555556E-4,-4,3.5920596150164514E-5,0.0044487341438697375,1.6902279850206652,1902.0016726525564,114.64992196824923,5.442332172247971E-5,0.0045918549596100046
3.055555555555556E-4,-3,2.659152302656986E-5,0.0033365506079023077,1.2676709887654938,1408.0256648157883,84.87375953528449,4.490591307797208E-5,0.00411973567442938
3.055555555555556E-4,-2,1.7396148921858055E-5,0.002224367071934918,0.8451139925103514,921.1290427577005,55.524332282829185,3.467147469280244E-5,0.003490683508569039
3.055555555555556E-4,-1,8.486114613119207E-6,0.0011121835359674623,0.4225569962551767,449.3412114041462,27.08564117756938,2.283726412701746E-5,0.0025852020381261507
3.055555555555556E-4,1,4.6692686060566927E-7,-0.0011121835359674266,-0.4225569962551644,24.723856646636488,1.490318476606753,4.7623641953417695E-6,6.821123693099752E-4
3.055555555555556E-4,2,3.8221574899501773E-7,-0.002224367071934919,-0.8451139925103508,20.238388885963516,1.2199409390123377,4.3480369297152805E-6,6.115683833211765E-4
3.055555555555556E-4,3,3.2217388091025413E-7,-0.0033365506079023363,-1.2676709887655027,17.059161763757707,1.0283017061341158,4.044631318001968E-6,5.541675094498772E-4
3.055555555555556E-4,4,2.7634898715877753E-7,-0.00444873414386966,-1.6902279850206374,14.632725849385086,0.8820396432539013,3.7979370507517443E-6,5.062205675499961E-4
3.055555555555556E-4,5,2.4003747247824233E-7,-0.00556091767983739,-2.1127849812759094,12.710024974093251,0.7661420031571534,3.5874831865248095E-6,4.6549909630762905E-4
3.611111111111112E-4,-5,3.8353693389139946E-5,0.005560917679837359,2.1127849812759067,2030.834585082836,144.6731997593073,5.3761029006974376E-5,0.004963285879431697
3.611111111111112E-4,-4,3.0394350588600744E-5,0.004448734143869671,1.6902279850206396,1609.386030706009,114.64992196824893,4.605050299594275E-5,0.004591854959610166
3.611111111111112E-4,-3,2.250051948402062E-5,0.003336550607902325,1.267670988765493,1191.406331767204,84.87375953528449,3.799731106597646E-5,0.004119735674429365
3.611111111111112E-4,-2,1.4719818318495303E-5,0.0022243670719349013,0.8451139925103436,779.4168823334403,55.524332282829334,2.9337401663141526E-5,0.0034906835085689266
3.611111111111112E-4,-1,7.180558518793187E-6,0.0011121835359674316,0.4225569962551664,380.2117942650474,27.085641177569375,1.9323838876706876E-5,0.0025852020381261828
3.611111111111112E-4,1,3.950919589740239E-7,-0.0011121835359674571,-0.4225569962551749,20.92018639330759,1.4903184766067386,4.0296927806736514E-6,6.821123693099944E-4
3.611111111111112E-4,2,3.234133260727079E-7,-0.002224367071934876,-0.8451139925103355,17.124790595815313,1.2199409390123408,3.6791081712975565E-6,6.115683833211757E-4
3.611111111111112E-4,3,2.726086684625293E-7,-0.0033365506079022973,-1.2676709887654882,14.434675338564563,1.0283017061341388,3.422380346001862E-6,5.541675094498589E-4
3.611111111111112E-4,4,2.3383375836510394E-7,-0.004448734143869737,-1.6902279850206645,12.381537257171173,0.8820396432538434,3.2136390429431115E-6,5.062205675500684E-4
3.611111111111112E-4,5,2.031086305585129E-7,-0.0055609176798373395,-2.112784981275908,10.754636516540453,0.7661420031571544,3.0355626962902003E-6,4.65499096307633E-4
4.1666666666666675E-4,-5,3.323986760392114E-5,0.005560917679837206,2.112784981275853,1760.0566404051167,144.67319975930658,4.659289180603901E-5,0.004963285879432256
4.1666666666666675E-4,-4,2.634177051012065E-5,0.004448734143869752,1.6902279850206665,1394.8012266118749,114.64992196824969,3.991043592982229E-5,0.004591854959609563
4.1666666666666675E-4,-3,1.9500450219484547E-5,0.0033365506079023363,1.2676709887655029,1032.552154198244,84.87375953528448,3.2931002923846095E-5,0.0041197356744293884
4.1666666666666675E-4,-2,1.2757175876029186E-5,0.0022243670719348137,0.8451139925103112,675.4946313556442,55.52433228282899,2.542574810805344E-5,0.0034906835085692554
4.1666666666666675E-4,-1,6.223150716287435E-6,0.0011121835359674485,0.4225569962551718,329.5168883630414,27.085641177569414,1.6747327026479858E-5,0.0025852020381260978
4.1666666666666675E-4,1,3.4241303111082155E-7,-0.0011121835359674437,-0.42255699625517046,18.130828207533288,1.4903184766067399,3.492400409917181E-6,6.821123693099929E-4
4.1666666666666675E-4,2,2.802915492630158E-7,-0.0022243670719348818,-0.8451139925103364,14.841485183040056,1.2199409390123523,3.1885604151246485E-6,6.115683833211615E-4
4.1666666666666675E-4,3,2.3626084600084865E-7,-0.003336550607902367,-1.267670988765511,12.510051960088754,1.0283017061340916,2.9660629665346955E-6,5.541675094498821E-4
4.1666666666666675E-4,4,2.0265592391641558E-7,-0.004448734143869844,-1.6902279850207051,10.73066562288127,0.8820396432538099,2.7851538372173522E-6,5.062205675500508E-4
4.1666666666666675E-4,5,1.76027479817395E-7,-0.005560917679837258,-2.112784981275874,9.320684981002634,0.7661420031572315,2.630821003451959E-6,4.654990963075983E-4
