% Model,main_refined_constant_ae.mph
% Version,COMSOL 5.3.1.275
% Date,"Feb 18 2019, 21:00"
% Table,Table: no PP parametric sweep {tbl9} - 
% Ae,p_in,"Attenuation to groundwater, Global Evaluation: Attenuation to groundwater {gev2}",Global Evaluation: Relative air entry rate {gev3},"Average crack Peclet number, Global Evaluation: Crack Peclet number {gev4}","TCE in indoor air, Global Evaluation: TCE in indoor air {gev5}",Global Evaluation: TCE emission rate {gev6},"Attenuation to subbase, Global Evaluation: Attenuation to subslab {gev9}",Global Evaluation: Average TCE in subslab {gev10}
2.777777777777778E-5,-5,7.70577372285349E-6,1.1482331380948935E-4,0.043625348707574174,408.0220286066251,2.2359073034231556,6.65121282556043E-5,8.060186276494213E-4
2.777777777777778E-5,-4,7.580563701836557E-6,9.185865104743395E-5,0.034900278965999225,401.392136708075,2.1995763637249013,6.578492171632577E-5,8.01686943848499E-4
2.777777777777778E-5,-3,7.455974066273477E-6,6.88939882857373E-5,0.02617520922456102,394.7950943247718,2.1634254350699016,6.506059883613659E-5,7.972894251093251E-4
2.777777777777778E-5,-2,7.331962833707545E-6,4.592932552369254E-5,0.01745013948299042,388.2286784784962,2.127442335828586,6.433911225644739E-5,7.928204831607384E-4
2.777777777777778E-5,-1,7.2084493456126725E-6,2.296466276187076E-5,0.008725069741504478,381.6886182865797,2.091603662122975,6.362040623486415E-5,7.882701561435698E-4
2.777777777777778E-5,1,6.963678660748538E-6,-2.2964662761860318E-5,-0.008725069741500514,368.7279689120073,2.0205810002028053,6.221155177086536E-5,7.787487445062768E-4
2.777777777777778E-5,2,6.842680143414358E-6,-4.592932552368399E-5,-0.017450139482987168,362.32107684941457,1.9854720704131124,6.15222258166978E-5,7.737913519104824E-4
2.777777777777778E-5,3,6.722586584765546E-6,-6.88939882855859E-5,-0.026175209224503518,355.962102503055,1.9506257234355673,6.0836822472722454E-5,7.687755334172278E-4
2.777777777777778E-5,4,6.6035832221311225E-6,-9.185865104745758E-5,-0.03490027896600837,349.66085422099064,1.9160957077335639,6.015559673523996E-5,7.637184589540037E-4
2.777777777777778E-5,5,6.485794857339924E-6,-1.148233138094242E-4,-0.0436253487075494,343.42394028127467,1.88191823580575,5.9478748046242085E-5,7.586318306242081E-4
8.333333333333334E-5,-5,2.5685912409511984E-6,1.1482331380958839E-4,0.04362534870761179,136.0073428688769,2.235907303423196,2.217070941853537E-5,8.060186276494102E-4
8.333333333333334E-5,-4,2.5268545672788385E-6,9.185865104739815E-5,0.034900278965985826,133.79737890269092,2.199576363724888,2.1928307238774438E-5,8.016869438485246E-4
8.333333333333334E-5,-3,2.4853246887578E-6,6.889398828563446E-5,0.026175209224522017,131.5983647749226,2.1634254350698834,2.1686866278711754E-5,7.972894251093331E-4
8.333333333333334E-5,-2,2.4439876112358714E-6,4.592932552374583E-5,0.01745013948301061,129.40955949283327,2.127442335828605,2.1446370752149997E-5,7.928204831607139E-4
8.333333333333334E-5,-1,2.402816448537537E-6,2.2964662761840362E-5,0.00872506974149297,127.2295394288588,2.091603662122957,2.120680207828715E-5,7.882701561435965E-4
8.333333333333334E-5,1,2.321226220249504E-6,-2.2964662761878756E-5,-0.008725069741507533,122.90932297066865,2.020581000202799,2.073718392362151E-5,7.787487445062843E-4
8.333333333333334E-5,2,2.280893381138129E-6,-4.5929325523677783E-5,-0.01745013948298481,120.77369228313871,1.9854720704131223,2.0507408605566542E-5,7.737913519104629E-4
8.333333333333334E-5,3,2.240862194921845E-6,-6.88939882855954E-5,-0.026175209224507168,118.6540341676848,1.950625723435563,2.0278940824240686E-5,7.687755334172315E-4
8.333333333333334E-5,4,2.201194407377028E-6,-9.185865104747354E-5,-0.034900278966014324,116.55361807366286,1.9160957077335523,2.005186557841283E-5,7.637184589540178E-4
8.333333333333334E-5,5,2.1619316191132848E-6,-1.1482331380948276E-4,-0.043625348707571385,114.47464676042367,1.8819182358057303,1.982624934874651E-5,7.586318306242327E-4
1.388888888888889E-4,-5,1.5411547445706678E-6,1.1482331380943895E-4,0.04362534870755505,81.60440572132342,2.2359073034231156,1.3302425651119197E-5,8.060186276495062E-4
1.388888888888889E-4,-4,1.5161127403673368E-6,9.185865104750996E-5,0.03490027896602814,80.27842734161634,2.1995763637249346,1.3156984343265901E-5,8.016869438484669E-4
1.388888888888889E-4,-3,1.4911948132546828E-6,6.889398828564678E-5,0.02617520922452666,78.95901886495369,2.163425435069882,1.3012119767227147E-5,7.972894251093288E-4
1.388888888888889E-4,-2,1.4663925667415212E-6,4.592932552374847E-5,0.017450139483011644,77.64573569569988,2.1274423358286034,1.2867822451289958E-5,7.928204831607155E-4
1.388888888888889E-4,-1,1.4416898691225238E-6,2.296466276184289E-5,0.00872506974149391,76.33772365731538,2.0916036621229592,1.272408124697242E-5,7.882701561435893E-4
1.388888888888889E-4,1,1.3927357321497082E-6,-2.2964662761845953E-5,-0.008725069741495072,73.7455937824015,2.0205810002028044,1.24423103541731E-5,7.787487445062754E-4
1.388888888888889E-4,2,1.3685360286828601E-6,-4.5929325523716286E-5,-0.01745013948299941,72.46421536988231,1.9854720704130968,1.2304445163339154E-5,7.737913519105015E-4
1.388888888888889E-4,3,1.3445173169530922E-6,-6.889398828568706E-5,-0.026175209224541966,71.1924205006101,1.9506257234355402,1.2167364494543955E-5,7.68775533417252E-4
1.388888888888889E-4,4,1.320716644426226E-6,-9.1858651047417E-5,-0.034900278965992855,69.93217084419821,1.916095707733567,1.203111934704809E-5,7.637184589539983E-4
1.388888888888889E-4,5,1.2971589714679569E-6,-1.1482331380954418E-4,-0.04362534870759493,68.68478805625345,1.881918235805714,1.1895749609247485E-5,7.586318306242513E-4
1.9444444444444446E-4,-5,1.1008248175505107E-6,1.1482331380956245E-4,0.043625348707601756,58.28886122951852,2.235907303423192,9.501732607943608E-6,8.060186276494185E-4
