% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 10 2018, 14:52"
% Table,Accumulated Probe Table 2 - 
% period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
43200,0,7.917261393336246E-5,5.459067958167847E-4,0.20740887489848314,3.1906563415145073E-5,1.3294401422976917E-6
43200,6.206413307112803,3.510548605007938E-5,-4.512296178693431E-5,-0.017143774006902788,1.4147510878181991E-5,5.749029423976474E-7
43200,12.412826614225606,2.4473306234320692E-5,-6.344985835919209E-4,-0.24106795950502988,9.86274241243124E-6,4.1321867137155364E-7
43200,24.825653228451213,1.9363743130652582E-5,-0.0018009499424990333,-0.6842431788439912,7.803588481652991E-6,3.2516207160293677E-7
43200,49.651306456902425,1.5105435986414487E-5,-0.004038174019532764,-1.5342419923211055,6.0874907025250386E-6,2.53649987989938E-7
43200,99.30261291380485,1.1226950865958114E-5,-0.007779778517751261,-2.9558069650185113,4.5244611989811205E-6,1.8845306619563666E-7
43200,198.6052258276097,9.005969011941357E-6,-0.01022892307998255,-3.8863217012494333,3.629405511812367E-6,1.5122213958981128E-7
43200,397.2104516552194,3.3616526102829103E-4,0.004029299041869339,1.530870081317208,1.354746001944013E-4,5.656894384771138E-6
43200,575.9551549000681,0.001301930406672058,0.010933677802306122,4.154082398050841,5.246779538888394E-4,2.186344471255401E-5
43200,683.5062422730857,4.84175955819645E-4,0.003966852041495574,1.5071443058046894,1.9512291019531695E-4,8.196266248409275E-6
43200,791.0573296461033,1.3218574842128618E-5,-0.005799501031979747,-2.203431049462914,5.327085661377833E-6,2.2199564217052051E-7
43200,898.6084170191209,9.152364690357167E-6,-0.01037155022785176,-3.9405106882637284,3.6884029702139386E-6,1.5368109353232172E-7
43200,1006.1595043921385,1.0909259573335523E-5,-0.00601169947919632,-2.2840525796025912,4.396431608054216E-6,1.8320903033228109E-7
43200,1113.710591765156,3.020354007508011E-4,0.0037115860979630598,1.4101599440900414,1.2172026650257285E-4,5.07129798236212E-6
43200,1221.2616791381738,0.0012254188600760501,0.010846382452071935,4.120915874910476,4.938438006106482E-4,2.0576957980989424E-5
43200,1328.8127665111915,0.0011491075616170408,0.009552914189726962,3.629482540382238,4.6309034733166743E-4,1.928626999195089E-5
43200,1436.3638538842092,1.1817700502851461E-4,8.913666323124623E-4,0.33866101639816704,4.762533302649139E-5,2.144184153567995E-6
