% Model,main_refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 6 2018, 21:48"
% Table,Accumulated Probe Table 2 -
period,Time,"Attenuation factor, Attenuation factor",Relative air entry rate,"Average crack Peclet number, Crack Peclet number","TCE in indoor air, TCE in indoor air",TCE emission rate
60,0,7.917389386847088E-5,5.45906795816813E-4,0.20740887489849433,3.1907079228993766E-5,1.329461634541409E-6
60,0.024452700930921962,7.687099431739951E-5,5.179489647736068E-4,0.19678672781091835,3.0979010709912005E-5,1.290791087210941E-6
60,0.041797329492586036,7.524732533618062E-5,4.98118183733472E-4,0.18925232813791393,3.0324672110480796E-5,1.263560007955398E-6
60,0.07648658661591418,7.204039312662408E-5,4.5845719358518863E-4,0.17418374608865145,2.9032278430029506E-5,1.2096930587552055E-6
60,0.14586510086257046,6.577036798221927E-5,3.7913921748822753E-4,0.14404810332406243,2.6505458296834366E-5,1.1043940967116027E-6
60,0.28462212935588305,5.402136295881715E-5,2.205338244163522E-4,0.0837884282624069,2.1770609272403315E-5,9.071087361215872E-7
60,0.5621361863425082,3.7183598265891234E-5,-9.643739657734735E-5,-0.03663990277373178,1.498499010115417E-5,6.243743757282455E-7
60,1.1171643003157583,2.7470410333597897E-5,-7.28485248595325E-4,-0.27677674458188517,1.1070575364439953E-5,4.612738910626116E-7
60,1.6166896028916835,2.4272637026342996E-5,-0.0012937190256274908,-0.49152860817328137,9.781872721616228E-6,4.0780017160394166E-7
60,2.615740208043534,2.0960848749782454E-5,-0.0024075258962691264,-0.9147023654230738,8.44722204616233E-6,3.519683245061469E-7
60,3.6147908131953845,1.9035599795763403E-5,-0.0034890457227505314,-1.325609157772653,7.671346717692652E-6,3.193993474112697E-7
60,4.613841418347235,1.771108706041771E-5,-0.0045264415899667265,-1.7197517317292894,7.1375680853483375E-6,2.967380974300139E-7
60,5.612892023499086,1.6705753338878014E-5,-0.005508369123287575,-2.0928199669638428,6.73241859556784E-6,2.79539671801941E-7
