Time,IndoorConcentration,SubslabConcentration,AvgGroundwaterConcentration,AttenuationSubslab,AttenuationAvgGroundwater,logIndoorConcentration,logAttenuationSubslab,logAttenuationAvgGroundwater,IndoorOutdoorPressure,AirExchangeRate,Phase,Season
2010-12-21 02:34:00,0.04298189461440764,0.0,11288.235294117649,,3.8076717480194364e-06,-1.3667144449998196,,-5.419340498357017,-0.807541326,,Open,Winter
2010-12-21 14:34:00,0.016118210480402868,0.0,11288.235294117649,,1.4278769055072888e-06,-1.7926831772721008,,-5.845309230629298,0.020066184,,Open,Winter
2010-12-21 18:34:00,0.02686368413400478,0.0,11288.235294117649,,2.3797948425121477e-06,-1.5708344276557444,,-5.623460481012942,0.34357356299999997,0.8283974651037566,Open,Winter
2010-12-21 22:35:00,0.059100105094810514,0.0,11288.235294117649,,5.235548653526725e-06,-1.2284117468335383,,-5.281037800190735,-0.578501954,0.8000960115213825,Open,Winter
2010-12-22 02:35:00,0.02149094730720382,0.0,11288.235294117649,,1.9038358740097182e-06,-1.667744440663801,,-5.720370494020998,0.44599609799999995,0.7446293607356939,Open,Winter
2010-12-22 06:35:00,1.34855694352704,0.0,11288.235294117649,,0.00011946570109410982,0.12986928948927492,,-3.922756763867923,-0.303586245,0.778089013383131,Open,Winter
2010-12-22 10:35:00,0.032236420960805735,0.0,11288.235294117649,,2.8557538110145775e-06,-1.4916531816081195,,-5.544279234965317,-1.0676735640000001,0.8034709946970915,Open,Winter
2010-12-22 14:35:00,0.04298189461440764,0.0,11288.235294117649,,3.8076717480194364e-06,-1.3667144449998196,,-5.419340498357017,-0.8695936129999999,0.8044512971777166,Open,Winter
2010-12-22 18:35:00,0.05372736826800956,0.0,11288.235294117649,,4.759589685024295e-06,-1.2698044319917632,,-5.322430485348961,-0.297366511,0.7372637684008748,Open,Winter
2010-12-22 22:36:00,0.04298189461440764,0.0,11288.235294117649,,3.8076717480194364e-06,-1.3667144449998196,,-5.419340498357017,-0.11482429,0.6974311286760432,Open,Winter
2010-12-23 02:36:00,0.02149094730720382,0.0,11288.235294117649,,1.9038358740097182e-06,-1.667744440663801,,-5.720370494020998,0.7391184540000001,0.7332274227056091,Open,Winter
2010-12-23 06:36:00,0.04298189461440764,0.0,11288.235294117649,,3.8076717480194364e-06,-1.3667144449998196,,-5.419340498357017,-0.24247388,0.7134533520416656,Open,Winter
2010-12-23 10:36:00,0.05372736826800956,0.0,11288.235294117649,,4.759589685024295e-06,-1.2698044319917632,,-5.322430485348961,-0.191590425,0.7142261954360947,Open,Winter
2010-12-23 14:36:00,0.037609157787606685,0.0,11288.235294117649,,3.3317127795170066e-06,-1.4247063919775065,,-5.477332445334704,0.3256106,0.6878052135635188,Open,Winter
2010-12-23 18:36:00,0.037609157787606685,0.0,11288.235294117649,,3.3317127795170066e-06,-1.4247063919775065,,-5.477332445334704,-0.7281584940000001,0.6829279397202271,Open,Winter
2010-12-27 12:45:00,0.06984557874841242,0.0,11288.235294117649,,6.187466590531584e-06,-1.1558610796849265,,-5.208487133042124,1.6633174990000001,0.6097189195780744,Open,Winter
2010-12-27 16:45:00,0.12894568384322294,0.0,11288.235294117649,,1.142301524405831e-05,-0.8895931902801573,,-4.942219243637354,0.562795966,0.7334156388661395,Open,Winter
2010-12-27 20:45:00,0.06447284192161147,0.0,11288.235294117649,,5.711507622029155e-06,-1.1906231859441383,,-5.243249239301336,-0.104676609,0.5194490377206576,Open,Winter
2010-12-28 00:46:00,0.11282747336282008,0.0,11288.235294117649,,9.995138338551021e-06,-0.947585137257844,,-5.000211190615041,-0.295419943,0.5215033202378054,Open,Winter
2010-12-28 04:46:00,0.18804578893803345,0.0,11288.235294117649,,1.6658563897585034e-05,-0.7257363876414876,,-4.778362440998685,0.044193761,0.5408523833561694,Open,Winter
2010-12-28 08:46:00,0.32236420960805734,0.0,11288.235294117649,,2.8557538110145775e-05,-0.4916531816081196,,-4.544279234965317,0.074108823,0.5538529704980985,Open,Winter
2010-12-28 12:46:00,0.17192757845763057,0.0,11288.235294117649,,1.5230686992077746e-05,-0.7646544536718574,,-4.8172805070290545,0.938895487,0.7125044531528322,Open,Winter
2010-12-28 16:46:00,0.12357294701642198,0.0,11288.235294117649,,1.094705627555588e-05,-0.9080765959741703,,-4.960702649331368,0.5222893710000001,0.5490633893683026,Open,Winter
2010-12-28 20:46:00,0.06984557874841242,0.0,11288.235294117649,,6.187466590531584e-06,-1.1558610796849265,,-5.208487133042124,0.39046815,0.5200162938438737,Open,Winter
2010-12-29 00:46:00,57.627975204267045,0.0,11288.235294117649,,0.005105135896157059,1.760633360635286,,-2.2919926927219114,-0.06429765700000001,0.5335135423520834,Open,Winter
2010-12-29 04:46:00,0.06447284192161147,0.0,11288.235294117649,,5.711507622029155e-06,-1.1906231859441383,,-5.243249239301336,-3.564545613,0.6751814550160355,Open,Winter
2011-01-03 13:30:00,1.0261927339189825,0.0,11288.235294117649,,9.090816298396404e-05,0.011228935255964275,,-4.041397118101234,0.488988847,0.830806297511735,Open,Winter
2011-01-03 17:30:00,1.1658838914158074,0.0,11288.235294117649,,0.00010328309616502722,0.06665530185676627,,-3.9859707515004312,-0.160555578,0.7940183947594784,Open,Winter
2011-01-03 21:30:00,3.245133043387777,0.0,11288.235294117649,,0.0002874792169754674,0.5112325066293686,,-3.541393546727829,-0.11838671199999999,0.5831300477194755,Open,Winter
2011-01-04 01:31:00,9.262598289404847,0.0,11288.235294117649,,0.0008205532616981885,0.9667328294969307,,-3.0858932238602668,-0.51870084,0.5968961400716275,Open,Winter
