% Model,pe-analysis-refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 4 2018, 07:53"
% Table,Soil study - gravel sub-base - 
L,Pe,GW depth,Base depth,Crack width,Soil type,Indoor/outdoor pressure difference,Relative volumetric entry rate,Crack area,Sub-slab pressure difference
15,1,2,0.5,1,1,-1.551464812254021,2.3906259697647737E-8,0.09989999999999599,0.024515558717633064
15,1,2,0.5,1,2,-23.432704577391963,2.3815637804320656E-8,0.09989999999999599,0.022767682121419677
15,1,2,0.5,1,3,-192.66450569326264,2.368259826233132E-8,0.09989999999999599,0.02194628542409305
15,1,2,0.5,1,4,-1309.835776716427,2.35987704604949E-8,0.09989999999999599,0.02149394820821726
15,1,2,0.5,1,5,-893.8609032831102,2.3478567859628138E-8,0.09989999999999599,0.02076618738211285
15,1,2,0.5,1,6,-4208.152845384635,2.2910579644163018E-8,0.09989999999999599,0.01858262034663009
15,1,2,0.5,1,7,-1741.4622967009573,2.35096300976883E-8,0.09989999999999599,0.02096619836129321
15,1,2,0.5,1,8,-2958.1720679575637,2.323444249255689E-8,0.09989999999999599,0.019734316283221334
15,1,2,0.5,1,9,-2570.042317794756,2.3516805666070703E-8,0.09989999999999599,0.021053045220570412
15,1,2,0.5,1,10,-838.3547536116803,2.3032108042923367E-8,0.09989999999999599,0.018960092071615187
15,1,2,0.5,1,11,-1981.6601183401665,2.3705190333932165E-8,0.09989999999999599,0.02220960389315173
15,1,2,0.5,1,12,-2332.465388060442,2.345186898845312E-8,0.09989999999999599,0.02073494929211645
15,1,2,0.5,2,1,-3.0864283668373313,4.6947272803200585E-8,0.19959999999999672,0.03830596204992349
15,1,2,0.5,2,2,-46.73435284984354,4.65194610829636E-8,0.19959999999999672,0.034818905887008436
15,1,2,0.5,2,3,-384.25533438257946,4.613677587141135E-8,0.19959999999999672,0.03324821878139675
15,1,2,0.5,2,4,-2612.1657628097055,4.5901508745205364E-8,0.19959999999999672,0.0323902089648224
15,1,2,0.5,2,5,-1782.3638095550143,4.556651631483878E-8,0.19959999999999672,0.031003847448118904
15,1,2,0.5,2,6,-8384.621272013519,4.3981696388758694E-8,0.19959999999999672,0.02694771437705236
15,1,2,0.5,2,7,-3472.6047203911144,4.565289264623947E-8,0.19959999999999672,0.03138569427056205
15,1,2,0.5,2,8,-5896.7878613406,4.488522197506182E-8,0.19959999999999672,0.029074742133818495
15,1,2,0.5,2,9,-5124.876937034459,4.5672759898998035E-8,0.19959999999999672,0.03155458221479219
15,1,2,0.5,2,10,-1670.704677040867,4.4321201254305276E-8,0.19959999999999672,0.027637559423131584
15,1,2,0.5,2,11,-3952.4185219759283,4.619817964278954E-8,0.19959999999999672,0.03375991258786194
15,1,2,0.5,2,12,-4650.7631510723195,4.5491626698501665E-8,0.19959999999999672,0.03095468023896804
15,1,2,0.5,3,1,-4.609650272100843,6.81455038108945E-8,0.299100000000004,0.04814875271722564
15,1,2,0.5,3,2,-69.88323384312397,6.723667979448078E-8,0.299100000000004,0.04296209134352264
15,1,2,0.5,3,3,-574.5427570662137,6.653798555052919E-8,0.299100000000004,0.04069202319200511
