% Model,pe-analysis-refined.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 4 2018, 07:53"
% Table,Soil study - uniform soil  - 
L,Pe,GW depth,Base depth,Crack width,Soil type,Indoor/outdoor pressure difference,Relative volumetric entry rate,Crack area,Sub-slab pressure difference
15,1,2,0.5,1,1,-3.055294618767192,1.6167812363297053E-8,0.09989999999999599,1.8777449160247484
15,1,2,0.5,1,2,-44.59722960412216,1.6119544780454525E-8,0.09989999999999599,26.197151577770615
15,1,2,0.5,1,3,-359.36528429179003,1.6092586141699153E-8,0.09989999999999599,206.37480605085437
15,1,2,0.5,1,4,-2415.723853917224,1.607660635984332E-8,0.09989999999999599,1368.9580948008904
15,1,2,0.5,1,5,-1618.5024237629248,1.6054836775126416E-8,0.09989999999999599,892.8111831238314
15,1,2,0.5,1,6,-7210.472804118632,1.5946751772363337E-8,0.09989999999999599,3676.486175124654
15,1,2,0.5,1,7,-3169.5907646314354,1.6060313672797013E-8,0.09989999999999599,1762.9100293836839
15,1,2,0.5,1,8,-5216.330839351794,1.6008546556506164E-8,0.09989999999999599,2776.42705471418
15,1,2,0.5,1,9,-4687.906678996406,1.606133687503404E-8,0.09989999999999599,2618.5879162819906
15,1,2,0.5,1,10,-1448.9349861710862,1.597037359808124E-8,0.09989999999999599,747.7730438585864
15,1,2,0.5,1,11,-3717.9383340014533,1.6095864570127898E-8,0.09989999999999599,2156.5964531389413
15,1,2,0.5,1,12,-4220.507779587046,1.604916281455897E-8,0.09989999999999599,2332.6804741086025
15,1,2,0.5,2,1,-5.6341736476719735,3.2625628996271534E-8,0.19959999999999672,3.2222017845078104
15,1,2,0.5,2,2,-82.50531076249013,3.247889234213029E-8,0.19959999999999672,44.71933168985783
15,1,2,0.5,2,3,-665.8580994530697,3.239728535911028E-8,0.19959999999999672,351.20259686128395
15,1,2,0.5,2,4,-4479.959421254723,3.2348924531061854E-8,0.19959999999999672,2325.100772123139
15,1,2,0.5,2,5,-3005.8530148684495,3.2282012896031766E-8,0.19959999999999672,1510.2237754260505
15,1,2,0.5,2,6,-13459.603228685492,3.195607768474681E-8,0.19959999999999672,6127.772626707218
15,1,2,0.5,2,7,-5884.100940430458,3.229902487273608E-8,0.19959999999999672,2985.7631267436786
15,1,2,0.5,2,8,-9709.996391795208,3.214216989557617E-8,0.19959999999999672,4667.541043341328
15,1,2,0.5,2,9,-8701.313600391482,3.2302517793722126E-8,0.19959999999999672,4437.750133675876
15,1,2,0.5,2,10,-2702.2301648884713,3.2026653022196913E-8,0.19959999999999672,1249.8362463496928
15,1,2,0.5,2,11,-6886.0730016791085,3.240799788181202E-8,0.19959999999999672,3675.233232457196
15,1,2,0.5,2,12,-7838.911651841652,3.226561512165544E-8,0.19959999999999672,3946.5434375509103
15,1,2,0.5,3,1,-8.038146054196902,4.8232873345805345E-8,0.299100000000004,4.349481740242976
15,1,2,0.5,3,2,-118.019304149792,4.79560508655829E-8,0.299100000000004,60.110320721836
15,1,2,0.5,3,3,-953.7113880498138,4.780263154975098E-8,0.299100000000004,470.88677948492347
15,1,2,0.5,3,4,-6421.439210020784,4.771171867894835E-8,0.299100000000004,3112.4328104664864
15,1,2,0.5,3,5,-4313.617694675945,4.7584228726816325E-8,0.299100000000004,2014.7403756011772
15,1,2,0.5,3,6,-19402.037382686518,4.697302995484376E-8,0.299100000000004,8071.915429471078
15,1,2,0.5,3,7,-8441.327390030492,4.761693080817481E-8,0.299100000000004,3987.4036861938516
15,1,2,0.5,3,8,-13962.323726387793,4.732164984904432E-8,0.299100000000004,6194.368364988991
15,1,2,0.5,3,9,-12481.37154063341,4.762414810940919E-8,0.299100000000004,5929.603272426906
15,1,2,0.5,3,10,-3891.995514088987,4.7104356250135325E-8,0.299100000000004,1650.395776442363
15,1,2,0.5,3,11,-9859.887209175475,4.782407252990705E-8,0.299100000000004,4933.493209930273
15,1,2,0.5,3,12,-11250.608682237318,4.755466304751138E-8,0.299100000000004,5265.813977310146
15,1,2,1,1,1,-4.047381254009263,1.6272095656675817E-8,0.0998999999999961,1.8319311318300266
15,1,2,1,1,2,-73.2861197020554,1.620597251336363E-8,0.0998999999999961,33.367136177804944
15,1,2,1,1,3,-666.0825217038685,1.617184118718672E-8,0.0998999999999961,303.18622907627696
15,1,2,1,1,4,-4817.1022354788975,1.6151258842105048E-8,0.0998999999999961,2188.5248885140472
15,1,2,1,1,5,-3613.061354354647,1.610788600427171E-8,0.0998999999999961,1600.6314441479744
15,1,2,1,1,6,-28485.467154759754,1.5962788848950124E-8,0.0998999999999961,12338.84353267902
