% Model,pp_open.mph
% Version,COMSOL 5.3.1.275
% Date,"Mar 22 2019, 12:11"
% Table,Table: Probe Table 1 {tbl1} - 
% Time (h),IndoorOutdoorPressure (Pa),AirExchangeRate (1/h),IndoorConcentration (ug/m^3),ExitRate (ug/hour),EntryRate (ug/hour),AttenuationGroundwater (1)
0,-0.299324683,0.5,2383.0707379384944,357460.61069077416,357460.6106907743,4.500591287881597E-5
0.023,-0.29940168709029064,0.5,2381.9767549754665,357296.51324631996,357296.39458023064,4.498525226596E-5
0.046,-0.29963059669847586,0.5,2385.305401026587,357795.810153988,357797.4140215739,4.504811601221653E-5
0.092,-0.30053151649240994,0.5,2391.6661121080233,358749.9168162035,358758.8329020413,4.516824237028935E-5
0.184,-0.30401744655769053,0.5,2401.7629023883737,360264.4353582561,360264.45709588216,4.5358927126926584E-5
0.368,-0.3170191739351687,0.5,2456.9632708162867,368544.49062244303,368545.67312281,4.6401423655793496E-5
0.5519999999999999,-0.3367150201890442,0.5,2545.0355883385196,381755.3382507779,381611.40024945425,4.8064729316988406E-5
0.736,-0.3614901403759267,0.5,2659.3626576693337,398904.3986504001,398819.49419360666,5.0223873835897674E-5
1.1039999999999999,-0.428142988264795,0.5,2975.409452155115,446311.4178232673,446311.63418915047,5.619263266114378E-5
1.2858945403090214,-0.5041482218710133,0.5,3338.3351354313995,500750.2703147098,500684.25200282765,6.304673120844371E-5
1.467789080618043,-0.6010438544433743,0.5,3826.6869810587145,574003.0471588072,573528.6395829552,7.226958820073128E-5
1.6496836209270642,-0.6964864986862932,0.5,4328.204963423255,649230.7445134885,645930.9304128843,8.174109664658784E-5
1.7728834437049217,-0.7489791782473452,0.5,4611.2425319139775,691686.3797870966,691691.7368048561,8.70864537718005E-5
1.8960832664827791,-0.7836125807220655,0.5,4811.661842373352,721749.2763560028,721274.8967323059,9.087150886150796E-5
2.0192830892606364,-0.7932795729662689,0.5,4887.015244029161,733052.2866043744,732513.2641560913,9.229460913967155E-5
2.142482912038494,-0.7665678176384011,0.5,4774.43209076942,716164.8136154131,716072.7659811892,9.016839966272858E-5
2.2656827348163513,-0.7076554594845512,0.5,4480.643980693238,672096.5971039855,672434.1413872334,8.462001124251797E-5
2.408095092434782,-0.6139770416206061,0.5,4014.5373418796926,602180.6012819539,602240.7273758717,7.581727012169543E-5
2.550507450053213,-0.5092379626315073,0.5,3484.808365217891,522721.2547826837,522483.7467984176,6.581297784724567E-5
2.692919807671644,-0.4105774033225222,0.5,3001.6385568704018,450245.7835305603,448860.0425618571,5.668798715604506E-5
2.773902657267392,-0.3637301807970249,0.5,2780.9406438209885,417141.0965731482,416655.5456782409,5.251995685417042E-5
2.8548855068631402,-0.32754227547558706,0.5,2599.475259630831,389921.2889446247,389693.4693875631,4.909285956269511E-5
2.9358683564588883,-0.30516525182473014,0.5,2500.6439194964487,375096.58792446734,373733.0902318328,4.722636243654079E-5
2.995539858699976,-0.2993541062748636,0.5,2463.9027361289086,369585.4104193362,369581.53470801946,4.6532480181440563E-5
3.049244210716955,-0.299324683,0.5,2458.6854931964035,368802.8239794605,368807.56708196236,4.6433948997640685E-5
3.1029485627339337,-0.299324683,0.5,2454.8141894645596,368222.1284196839,368225.88824632,4.6360836791733815E-5
3.2103572667678915,-0.299324683,0.5,2449.0367372401097,367355.5105860164,367355.50986506516,4.625172567415949E-5
3.4251746748358065,-0.299324683,0.5,2441.046448306077,366156.96724591154,366156.96702834533,4.6100823629198496E-5
3.854809490971636,-0.299324683,0.5,2431.2197756599144,364682.96634898713,364682.9663489871,4.591524022793344E-5
4.097856008825874,-0.30070606343860834,0.5,2432.957636536153,364943.64548042294,364943.5989903953,4.5948060913423944E-5
4.270145344364113,-0.30925491785777176,0.5,2467.6655822349885,370149.83733524824,370147.914881409,4.660354409126522E-5
4.442434679902352,-0.3243577549480009,0.5,2533.1236780925888,379968.5517138883,380085.94212652487,4.783976478437348E-5
4.614724015440591,-0.34455649340517536,0.5,2623.0317290286653,393454.7593542998,393607.9292470859,4.953773952054669E-5
4.959302686517069,-0.39440934920387893,0.5,2854.796760656461,428219.5140984691,428329.08384834434,5.391477988940284E-5
5.162229995216423,-0.44172077573411883,0.5,3080.805464845529,462120.8197268294,462150.9645441011,5.8183108096641225E-5
5.365157303915778,-0.5238239714846996,0.5,3462.364447155298,519354.66707329475,522298.82105863886,6.538910917859751E-5
5.547791881745197,-0.607426277161255,0.5,3912.6227117494345,586893.4067624151,587766.9664171027,7.389254296538491E-5
5.730426459574617,-0.6809975050483721,0.5,4312.115492139631,646817.3238209445,646643.6258118274,8.143723603039672E-5
5.836801196873017,-0.7118700578746059,0.5,4482.7224993258815,672408.3748988821,672398.4521036687,8.465926548160056E-5
5.943175934171416,-0.7293852801738003,0.5,4587.944473260831,688191.6709891245,688232.1366051191,8.664645407674482E-5
6.049550671469816,-0.7293094916845478,0.5,4603.934422310256,690590.1633465384,690590.384034201,8.694843514780513E-5
6.155925408768216,-0.7068597903567642,0.5,4496.56088493967,674484.1327409506,674482.9299742541,8.492061281275718E-5
6.2623001460666154,-0.6651072232220202,0.5,4291.834232921611,643775.1349382417,643733.517116588,8.105421064600193E-5
6.368674883365015,-0.6082459307121592,0.5,4007.8794319427498,601181.9147914124,601134.479965944,7.569153096095349E-5
6.475049620663414,-0.5404700532590249,0.5,3667.899848907077,550184.9773360614,550125.5674478036,6.927078513453455E-5
6.581424357961814,-0.46597373129445946,0.5,3300.1753260533146,495026.2989079971,494758.13753250113,6.232605723557289E-5
6.687799095260214,-0.3889511052503068,0.5,2922.282567045113,438342.3850567669,438389.77619442943,5.5189295276013536E-5
6.794173832558614,-0.3135963155584101,0.5,2568.3076686678596,385246.1503001789,384840.2887140586,4.850423839371734E-5
6.900548569857013,-0.24410350265061326,0.5,2252.9186201320413,337937.7930198062,337434.991066783,4.254790154841886E-5
7.006923307155413,-0.18461748686586665,0.5,1999.6480282603932,299947.20423905907,298846.66960003786,3.776471403699731E-5
7.1132980444538125,-0.1260835932014682,0.5,1754.9237536187622,263238.5630428144,265186.84137088165,3.314292954335675E-5
7.219672781752212,-0.06166659396156168,0.5,1541.5092328045303,231226.38492067956,232288.535933657,2.91124510611492E-5
7.298151347091075,-0.012241247657510002,0.5,1405.3648992325004,210804.73488487504,211648.40715146772,2.6541272657528783E-5
7.368782055896051,0.032431036118180295,0.5,1315.1718249783507,197275.7737467526,196902.68754841335,2.483791506199793E-5
7.432349693820529,0.07198659656872161,0.5,1256.526648158298,188478.99722374466,186776.72234212435,2.3730360982000586E-5
7.48956056795256,0.10647514686834711,0.5,1212.6042155550356,181890.63233325537,179626.93324171228,2.2900855947299808E-5
7.546771442084591,0.13939506625012896,0.5,1178.9236902673158,176838.55354009737,173966.332457751,2.2264776303217085E-5
7.603982316216621,0.17024909726029655,0.5,1152.9582263076989,172943.73394615483,169332.31193437404,2.1774400843428815E-5
7.680290309483759,0.20732683982051378,0.5,1098.6324341375043,164794.86512062568,164592.29864883047,2.0748421282453006E-5
7.748967503424184,0.23582287477647076,0.5,1072.6241143517777,160893.61715276664,161317.06743973767,2.025723646121963E-5
7.8107769779705665,0.25678325289615433,0.5,1060.133511990534,159020.02679858013,159020.02121469387,2.0021342934130983E-5
7.872586452516948,0.2726539252092003,0.5,1048.5280140052757,157279.20210079136,157276.48466188484,1.980216520561267E-5
7.934395927063331,0.2828078293937374,0.5,1040.32572443462,156048.85866519302,156045.5456976217,1.964725938433475E-5
8.058014876156095,0.2861344114406553,0.5,1032.826939907608,154924.0409861412,154924.04212980502,1.950563973463368E-5
8.18163382524886,0.2819823941011489,0.5,1030.134714636258,154520.2071954387,154510.07423180912,1.9454795227971093E-5
8.292890879432347,0.2750574558041646,0.5,1030.2068554450486,154531.0283167573,154530.66303293256,1.9456157656246407E-5
8.404147933615835,0.2655738685487392,0.5,1031.988389760666,154798.2584640999,154800.1746854396,1.9489803144365093E-5
8.515404987799323,0.2539768216438088,0.5,1034.8674483689679,155230.1172553452,155235.0989688969,1.9544176125760655E-5
8.7379190961663,0.22622310612117724,0.5,1044.7163934103585,156707.45901155376,156707.47154707112,1.9730180156368877E-5
8.938181793696579,0.1984828692967483,0.5,1056.6455160521966,158496.82740782946,158500.02232350668,1.9955469756795808E-5
9.138444491226858,0.1623448118205549,0.5,1074.2677225056564,161140.1583758485,161284.11376204464,2.0288277119897003E-5
9.215147733121402,0.1414205463955633,0.5,1087.97880256824,163196.820385236,163196.91388293117,2.054722019907094E-5
9.291850975015945,0.11767328089265797,0.5,1103.669387135334,165550.40807030007,165581.79485399008,2.0843547568125547E-5
9.368554216910491,0.09208458174882714,0.5,1123.0028709461994,168450.43064192988,168512.9309711075,2.1208673568870497E-5
