% Model,pp_closed.mph
% Version,COMSOL 5.3.1.275
% Date,"Mar 22 2019, 01:51"
% Table,Table: Probe Table 1 {tbl1} - 
% Time (h),IndoorOutdoorPressure (Pa),AirExchangeRate (1/h),IndoorConcentration (ug/m^3),ExitRate (ug/hour),EntryRate (ug/hour),AttenuationGroundwater (1)
0,-0.299324683,0.4923094940689865,630.7875446359255,93162.80908941923,93162.80908941942,1.191285211427887E-5
0.023,-0.29940168709029064,0.48729080207828723,637.2856937587252,93163.03705941208,93163.037059412,1.203557408330748E-5
0.046,-0.29963059669847586,0.4824200676235048,643.7205522017547,93163.11369714311,93163.02121551507,1.2157100764771006E-5
0.092,-0.30053151649240994,0.4731165280219484,656.3753621065248,93162.60971969645,93163.06111649999,1.239609546308397E-5
0.184,-0.30401744655769053,0.45621956295267124,680.6878760860122,93162.93760054276,93162.93760054263,1.285525383744778E-5
0.368,-0.3170191739351687,0.42893326456387826,723.9894357212554,93162.94565210346,93162.94565210391,1.3673033263561865E-5
0.736,-0.3614901403759267,0.3977285965006849,780.7929050458683,93163.09988447573,93163.09988447599,1.4745805443983816E-5
1.472,-0.6033559760505736,0.4564641717795875,680.3268700220763,93163.45237920785,93163.45237920768,1.2848435992218275E-5
2.944,-0.3038032495140178,0.49387457896105263,628.7963909061241,93163.96584329744,93163.96584329754,1.1875247820849757E-5
5.244000000000001,-0.4719115710224248,0.4195559473207889,739.9345873419019,93133.18702429457,93164.48905531154,1.3974168304689144E-5
7.5440000000000005,0.13784394973952704,0.5132113461143899,539.3749319229702,83044.00046176348,93164.88748473141,1.018646270489727E-5
9.844000000000001,-0.04776389099564343,0.5029425913743472,684.8746227957483,103335.78526662664,93165.2162373871,1.293432339869255E-5
12.144,0.31595257622722106,0.48152040014134473,609.8917332772942,88102.5934351743,93165.52562648238,1.1518220494425123E-5
14.444,-0.030826988514471625,0.5725737188663039,545.4725403254484,93696.97228607758,93165.84171779087,1.0301620189802007E-5
16.744,0.19298802702948714,0.42268201149749607,745.8123460992629,94572.43879467095,93166.1882260551,1.4085173779409264E-5
19.043999999999997,-0.030852659136124057,0.5346715541958789,463.839996044832,74400.61547505017,93166.57907540309,8.759934029387102E-6
21.343999999999998,-0.6423693690950572,0.4330674347007576,754.2351693385665,97990.40698396333,93167.02830183397,1.4244244529121748E-5
23.644,-0.2467967775,0.46810374110432246,604.0205048652133,84823.27740933839,93167.54871489872,1.1407338349720377E-5
